date,mean,std,q05,q25,q50,q75,q95
2006-10-16,0.6284476784476785,0.0772610488504885,0.4700000000000001,0.59,0.64,0.68,0.75
2006-10-24,0.584952644952645,0.08058663305230687,0.41000000000000003,0.54,0.6,0.64,0.6900000000000001
2006-11-01,0.5292307692307692,0.09609941633388418,0.35000000000000003,0.48,0.53,0.59,0.6900000000000001
2006-11-09,0.415980595980596,0.08209469256305767,0.26,0.37,0.43,0.46,0.54
2006-11-17,0.37528759528759525,0.07864947329622057,0.25,0.32,0.38,0.42,0.51
2006-11-25,0.33204435204435206,0.09121394218474159,0.21,0.26,0.33,0.38,0.51
2006-12-03,0.27850311850311854,0.08958555560801486,0.17,0.21,0.26,0.33,0.45
2006-12-11,0.24089859089859086,0.06266323931848719,0.15,0.21,0.23,0.26,0.36
2006-12-19,0.2543566643566644,0.07391571387869195,0.16,0.21,0.25,0.28,0.4
2006-12-27,0.22570339570339568,0.06692583573663237,0.14,0.17,0.23,0.25,0.35000000000000003
2007-01-01,0.17191842223218287,0.043768518026754064,0.12,0.15,0.17,0.19,0.26
2007-01-09,0.20418422232182878,0.054807802746289394,0.14,0.17,0.2,0.22,0.33
2007-01-17,0.21199238009861052,0.05924178731031885,0.14,0.17,0.2,0.23,0.33
2007-01-25,0.19342447333034515,0.04566181016021156,0.14,0.16,0.18,0.22,0.28
2007-02-02,0.1958628417749888,0.04506190785940708,0.14,0.16,0.19,0.22,0.29
2007-02-10,0.17880770954728822,0.03792954205095722,0.14,0.16,0.17,0.19,0.25
2007-02-18,0.16643433437920216,0.031307851909843226,0.13,0.15,0.16,0.18,0.23
2007-02-26,0.16428283281039893,0.029515947967919474,0.13,0.15,0.16,0.17,0.22
2007-03-06,0.18396683101748093,0.03595525847571206,0.13,0.16,0.18,0.2,0.24
2007-03-14,0.17901389511429852,0.03519893244155717,0.13,0.16,0.17,0.19,0.24
2007-03-22,0.20258180188256386,0.03633062493274482,0.14,0.18,0.21,0.22,0.26
2007-03-30,0.16449798296727924,0.031238536155811382,0.12,0.15,0.16,0.18,0.23
2007-04-07,0.2169542805916629,0.043475492906572696,0.15,0.19,0.21,0.24,0.3
2007-04-15,0.2722926938592559,0.05348719301509245,0.18,0.24,0.27,0.31,0.36
2007-04-23,0.38604885701479164,0.09494465271724896,0.22,0.33,0.39,0.45,0.51
